id,topic,difficulty,question,expected_answer,expected_citations,expected_law_numbers,expected_articles,expected_keywords
Q11,PHK,medium,"Jika pekerja di-PHK karena pelanggaran bersifat mendesak, apakah ia tetap mendapat pesangon dan UPMK?","Jika PHK terjadi karena pekerja melakukan pelanggaran bersifat mendesak yang diatur dalam perjanjian kerja, peraturan perusahaan, atau perjanjian kerja bersama, pekerja berhak atas uang penggantian hak dan uang pisah yang besarannya diatur dalam perjanjian kerja, peraturan perusahaan, atau perjanjian kerja bersama. Ketentuan ini tidak memberikan uang pesangon dan uang penghargaan masa kerja.",PP Nomor 35 Tahun 2021 Pasal 52 huruf o,PP 35/2021,Pasal 52 huruf o,pelanggaran bersifat mendesak; uang penggantian hak; uang pisah; tidak pesangon; tidak UPMK
Q12,PHK,medium,Apa hak pekerja yang mengundurkan diri atas kemauan sendiri dan memenuhi syarat pengunduran diri?,"Pekerja yang mengundurkan diri atas kemauan sendiri dan memenuhi syarat berhak atas uang penggantian hak dan uang pisah yang besarannya diatur dalam perjanjian kerja, peraturan perusahaan, atau perjanjian kerja bersama.",PP Nomor 35 Tahun 2021 Pasal 50,PP 35/2021,Pasal 50,mengundurkan diri; uang penggantian hak; uang pisah; syarat pengunduran diri
Q13,PHK,medium,"Dalam PHK, komponen apa saja yang termasuk uang penggantian hak menurut PP 35 Tahun 2021?","Uang penggantian hak meliputi cuti tahunan yang belum diambil dan belum gugur, biaya atau ongkos pulang untuk pekerja dan keluarganya ke tempat pekerja diterima bekerja, serta hal lain yang ditetapkan dalam perjanjian kerja, peraturan perusahaan, atau perjanjian kerja bersama.",PP Nomor 35 Tahun 2021 Pasal 40 ayat 4,PP 35/2021,Pasal 40 ayat 4,uang penggantian hak; cuti tahunan; ongkos pulang; pekerja dan keluarga; perjanjian kerja; peraturan perusahaan; PKB
Q14,PHK,medium,Apa saja komponen uang yang wajib dibayarkan pengusaha ketika terjadi PHK secara umum?,"Ketika terjadi PHK, pengusaha wajib membayar uang pesangon, uang penghargaan masa kerja, dan uang penggantian hak yang seharusnya diterima pekerja. Besaran detailnya bergantung pada alasan PHK dan masa kerja.",PP Nomor 35 Tahun 2021 Pasal 40 ayat 1,PP 35/2021,Pasal 40 ayat 1,PHK; uang pesangon; uang penghargaan masa kerja; uang penggantian hak
Q15,PHK,medium,Apa dasar perhitungan upah yang digunakan untuk menghitung pesangon dan uang penghargaan masa kerja?,Upah yang digunakan sebagai dasar pembayaran uang pesangon dan uang penghargaan masa kerja terdiri atas upah pokok dan tunjangan tetap yang diberikan kepada pekerja dan keluarganya.,PP Nomor 35 Tahun 2021 Pasal 40 ayat 2,PP 35/2021,Pasal 40 ayat 2,dasar perhitungan; upah pokok; tunjangan tetap; pesangon; uang penghargaan masa kerja
Q16,PHK dan perselisihan hubungan industrial,hard,"Perusahaan ingin mem-PHK pekerja karena pelanggaran aturan perusahaan setelah SP1, SP2, dan SP3, tetapi pekerja menolak. Jelaskan urutan langkah yang tepat: apa yang harus diupayakan sebelum PHK, hak uang apa yang menjadi dasar bila PHK karena pelanggaran berulang, dan ke mana sengketa dibawa jika bipartit/mediasi gagal?","Sebelum PHK, para pihak harus mengupayakan agar PHK tidak terjadi dan merundingkan maksud PHK. Untuk pelanggaran ketentuan perjanjian kerja, peraturan perusahaan, atau PKB yang telah didahului SP1, SP2, dan SP3 berturut-turut, dasar haknya adalah 0,5 kali uang pesangon, 1 kali uang penghargaan masa kerja, dan uang penggantian hak. Jika pekerja menolak, perselisihan wajib lebih dulu diupayakan melalui perundingan bipartit paling lama 30 hari kerja. Bila gagal, perselisihan dicatatkan ke instansi ketenagakerjaan dengan bukti bipartit; jika konsiliasi atau mediasi tidak mencapai kesepakatan, salah satu pihak dapat mengajukan gugatan ke Pengadilan Hubungan Industrial.",Undang-Undang No. 13 Tahun 2003 Pasal 151; PP Nomor 35 Tahun 2021 Pasal 52 huruf a; Undang-Undang No. 2 Tahun 2004 Pasal 3; Undang-Undang No. 2 Tahun 2004 Pasal 4; Undang-Undang No. 2 Tahun 2004 Pasal 5,UU 13/2003; PP 35/2021; UU 2/2004,Pasal 151; Pasal 52 huruf a; Pasal 3; Pasal 4; Pasal 5,mencegah PHK; perundingan; SP1; SP2; SP3; setengah kali pesangon; satu kali UPMK; uang penggantian hak; bipartit; 30 hari kerja; mediasi; Pengadilan Hubungan Industrial
Q17,PHK dan Jaminan Kehilangan Pekerjaan,hard,"Seorang pekerja PKWTT terkena PHK dan ingin menuntut hak PHK sekaligus manfaat JKP. Bedakan hak uang dari pengusaha saat PHK dengan manfaat JKP dari program jaminan sosial, termasuk komponen manfaat JKP dan skema uang tunainya.","Hak uang akibat PHK dari pengusaha mengacu pada kewajiban pembayaran uang pesangon dan/atau uang penghargaan masa kerja serta uang penggantian hak. Itu berbeda dari JKP, karena JKP adalah program yang wajib diikuti oleh pengusaha untuk mempertahankan derajat kehidupan layak saat pekerja kehilangan pekerjaan. Manfaat JKP terdiri dari uang tunai, akses informasi pasar kerja, dan pelatihan kerja. Uang tunai JKP diberikan paling banyak 6 bulan upah: 45% dari upah untuk 3 bulan pertama dan 25% dari upah untuk 3 bulan berikutnya, dengan dasar upah terakhir yang dilaporkan dan batas atas yang berlaku.",PP Nomor 35 Tahun 2021 Pasal 40 ayat 1; PP Nomor 37 Tahun 2021 Pasal 2; PP Nomor 37 Tahun 2021 Pasal 18; PP Nomor 37 Tahun 2021 Pasal 21; PP Nomor 37 Tahun 2021 Pasal 25,PP 35/2021; PP 37/2021,Pasal 40 ayat 1; Pasal 2; Pasal 18; Pasal 21; Pasal 25,PHK; pesangon; uang penghargaan masa kerja; uang penggantian hak; JKP; kehilangan pekerjaan; uang tunai; 45 persen; 25 persen; 6 bulan; informasi pasar kerja; pelatihan kerja
Q18,Disabilitas dan pemagangan,hard,"Jika pemberi kerja membuka program pemagangan untuk peserta penyandang disabilitas, apa saja kewajiban dan bentuk dukungan yang harus diperhatikan dari sisi hak peserta, kewajiban penyelenggara, kebutuhan khusus peserta, dan peran ULD Ketenagakerjaan?","Peserta pemagangan berhak memperoleh bimbingan, pemenuhan hak sesuai perjanjian pemagangan, fasilitas K3, uang saku, kepesertaan jaminan sosial, serta sertifikat atau surat keterangan. Penyelenggara wajib membimbing peserta, memenuhi hak peserta, menyediakan alat pelindung diri sesuai K3, memberi uang saku, mengikutsertakan peserta dalam jaminan sosial, mengevaluasi, dan memberikan sertifikat atau surat keterangan. Untuk peserta penyandang disabilitas, penyelenggaraan pemagangan harus memperhatikan kebutuhan khusus peserta. ULD Ketenagakerjaan dapat mendukung melalui tenaga pendamping yang mendampingi tenaga kerja penyandang disabilitas dan pemberi kerja, termasuk penyuluhan, bimbingan jabatan, konsultasi pelatihan/penempatan/pemberdayaan, pemenuhan dan pelindungan hak, serta penyediaan alat bantu kerja.",Permenaker Nomor 6 Tahun 2020 Pasal 13; Permenaker Nomor 6 Tahun 2020 Pasal 16; Permenaker Nomor 6 Tahun 2020 Pasal 24; Permenaker Nomor 21 Tahun 2020 Pasal 4; Permenaker Nomor 21 Tahun 2020 Pasal 8,Permenaker 6/2020; Permenaker 21/2020,Pasal 13; Pasal 16; Pasal 24; Pasal 4; Pasal 8,pemagangan; penyandang disabilitas; kebutuhan khusus; bimbingan; K3; uang saku; jaminan sosial; sertifikat; alat pelindung diri; ULD Ketenagakerjaan; tenaga pendamping; alat bantu kerja
Q19,Pekerja migran Indonesia,hard,"Calon pekerja migran akan ditempatkan melalui BP2MI berdasarkan permintaan pemberi kerja berbadan hukum di negara tujuan. Jelaskan dasar penempatannya, isi minimum perjanjian tertulis antar pihak penempatan, dan dokumen/hubungan kerja yang wajib ada bagi pekerja migran.","Penempatan PMI oleh BP2MI dapat didasarkan pada kebutuhan pemerintah atau permintaan dari pemerintah negara pemberi kerja atau pemberi kerja berbadan hukum di negara tujuan. Penempatan itu dilakukan atas dasar perjanjian tertulis. Perjanjian tertulis disusun berdasarkan prinsip persamaan kedudukan, saling menguntungkan, dan memperhatikan hukum nasional serta internasional, dan paling sedikit memuat identitas para pihak, hak dan kewajiban, syarat dan prosedur penempatan, mekanisme pelindungan PMI, pemantauan dan evaluasi, penyelesaian sengketa, perubahan perjanjian, serta jangka waktu dan pengakhiran. Dari sisi calon PMI, dokumen wajib mencakup antara lain sertifikat kompetensi, surat keterangan sehat, paspor, visa kerja, perjanjian penempatan, dan perjanjian kerja. Hubungan kerja dengan pemberi kerja didasarkan pada perjanjian kerja yang memuat unsur pekerjaan, upah, dan perintah, serta terjadi setelah perjanjian kerja disepakati dan ditandatangani.",PP Nomor 10 Tahun 2020 Pasal 2; PP Nomor 10 Tahun 2020 Pasal 3; PP Nomor 10 Tahun 2020 Pasal 5; Undang-Undang No. 18 Tahun 2017 Pasal 13; Undang-Undang No. 18 Tahun 2017 Pasal 14; Undang-Undang No. 18 Tahun 2017 Pasal 15,PP 10/2020; UU 18/2017,Pasal 2; Pasal 3; Pasal 5; Pasal 13; Pasal 14; Pasal 15,BP2MI; pekerja migran; permintaan pemberi kerja berbadan hukum; perjanjian tertulis; hak dan kewajiban; mekanisme pelindungan; penyelesaian sengketa; sertifikat kompetensi; paspor; visa kerja; perjanjian penempatan; perjanjian kerja; pekerjaan upah perintah
Q20,"K3, narkotika, dan jaminan sosial",hard,"Perusahaan menemukan indikasi peredaran narkotika di tempat kerja dan pada saat yang sama menjalankan pemagangan. Jelaskan tindakan kepatuhan yang perlu dilakukan terkait pelaporan/kebijakan pencegahan narkotika, hak K3 peserta pemagangan, dan konsekuensi bila pekerja belum diikutsertakan dalam JKK/JKM.","Untuk pencegahan dan penanggulangan narkotika di tempat kerja, pengusaha wajib melakukan upaya aktif, antara lain penetapan kebijakan, penyusunan dan pelaksanaan program, serta konsultasi/koordinasi dengan pihak terkait. Bila ditemukan seseorang memiliki atau mengedarkan narkotika, psikotropika, atau zat adiktif lainnya di tempat kerja, pengusaha atau pekerja harus segera melaporkan kepada Kepolisian dan laporan juga disampaikan kepada instansi ketenagakerjaan. Dalam pemagangan, peserta berhak memperoleh fasilitas K3, dan penyelenggara wajib menyediakan alat pelindung diri sesuai persyaratan K3. Jika pemberi kerja belum mengikutsertakan pekerjanya dalam program JKK atau JKM dan terjadi risiko, pemberi kerja wajib membayar hak pekerja sesuai ketentuan program tersebut.",Permenaker PER.11/MEN/VI/2005 Pasal 2; Permenaker PER.11/MEN/VI/2005 Pasal 4; Permenaker PER.11/MEN/VI/2005 Pasal 8; Permenaker Nomor 6 Tahun 2020 Pasal 13; Permenaker Nomor 6 Tahun 2020 Pasal 16; PP Nomor 44 Tahun 2015 Pasal 27; PP Nomor 44 Tahun 2015 Pasal 35,Permenaker PER.11/MEN/VI/2005; Permenaker 6/2020; PP 44/2015,Pasal 2; Pasal 4; Pasal 8; Pasal 13; Pasal 16; Pasal 27; Pasal 35,narkotika; psikotropika; zat adiktif; tempat kerja; kebijakan tertulis; konsultasi pekerja; lapor Kepolisian; instansi ketenagakerjaan; pemagangan; fasilitas K3; alat pelindung diri; JKK; JKM; pemberi kerja wajib membayar hak pekerja
